,step,AverageReturn
300,30100,-1132.77001953125
301,30200,-1019.6699829101562
302,30300,-1174.8699951171875
303,30400,-1059.469970703125
304,30500,-1092.68994140625
305,30600,-1167.469970703125
306,30700,-1172.72998046875
307,30800,-1012.8599853515625
308,30900,-1095.719970703125
309,31000,-1170.75
310,31100,-1081.0999755859375
311,31200,-1047.1500244140625
312,31300,-1043.1400146484375
313,31400,-1160.030029296875
314,31500,-1155.0
315,31600,-1154.6099853515625
316,31700,-1108.27001953125
317,31800,-1072.52001953125
318,31900,-1224.9599609375
319,32000,-1031.3800048828125
320,32100,-1123.1700439453125
321,32200,-1150.0999755859375
322,32300,-1061.97998046875
323,32400,-1039.6300048828125
324,32500,-1031.5
325,32600,-1071.93994140625
326,32700,-1033.0699462890625
327,32800,-1069.1300048828125
328,32900,-1107.8900146484375
329,33000,-1097.81005859375
330,33100,-1101.9000244140625
331,33200,-1170.8800048828125
332,33300,-1204.06005859375
333,33400,-1112.72998046875
334,33500,-1133.550048828125
335,33600,-1106.97998046875
336,33700,-1030.239990234375
337,33800,-1049.6199951171875
338,33900,-1131.9599609375
339,34000,-1267.4599609375
340,34100,-1170.3599853515625
341,34200,-1116.8599853515625
342,34300,-1020.2100219726562
343,34400,-1137.9100341796875
344,34500,-1041.18994140625
345,34600,-1118.3399658203125
346,34700,-1048.6199951171875
347,34800,-1149.489990234375
348,34900,-1098.8699951171875
349,35000,-1063.25
350,35100,-1086.9100341796875
351,35200,-1206.8800048828125
352,35300,-1182.9599609375
353,35400,-1117.5999755859375
354,35500,-1075.5
355,35600,-1022.3300170898438
356,35700,-1105.699951171875
357,35800,-1207.1700439453125
358,35900,-1040.4599609375
359,36000,-1015.4199829101562
360,36100,-998.1900024414062
361,36200,-1061.1300048828125
362,36300,-1148.3299560546875
363,36400,-1077.6600341796875
364,36500,-1153.219970703125
365,36600,-1025.780029296875
366,36700,-1048.550048828125
367,36800,-1157.0
368,36900,-1036.050048828125
369,37000,-1024.8399658203125
370,37100,-1110.550048828125
371,37200,-1047.72998046875
372,37300,-1051.4300537109375
373,37400,-1131.5
374,37500,-1024.97998046875
375,37600,-1081.3199462890625
376,37700,-1146.43994140625
377,37800,-996.8099975585938
378,37900,-1166.8699951171875
379,38000,-1140.4000244140625
380,38100,-1067.6400146484375
381,38200,-1176.8199462890625
382,38300,-1174.02001953125
383,38400,-1074.780029296875
384,38500,-1053.3800048828125
385,38600,-1055.5400390625
386,38700,-1069.3199462890625
387,38800,-1153.52001953125
388,38900,-1138.0999755859375
389,39000,-1005.0800170898438
390,39100,-1026.699951171875
391,39200,-1092.780029296875
392,39300,-1145.1300048828125
393,39400,-1069.4300537109375
394,39500,-1019.9500122070312
395,39600,-1014.77001953125
396,39700,-1156.5999755859375
397,39800,-1171.1199951171875
398,39900,-1186.2900390625
399,40000,-1148.800048828125
