,step,AverageReturn
99,218400,-2002.300048828125
100,220480,-4982.0
101,222560,-6386.89990234375
102,224640,-2705.89990234375
103,226720,-3257.10009765625
104,228800,-2799.10009765625
105,230880,-1700.300048828125
106,232960,-4670.7998046875
107,235040,-3876.39990234375
108,237120,-6138.5
109,239200,-1643.199951171875
110,241280,-2998.699951171875
111,243360,-3076.39990234375
112,245440,-4525.89990234375
113,247520,-6739.60009765625
114,249600,-3508.39990234375
115,251680,-4396.5
116,253760,-3711.10009765625
117,255840,-4079.300048828125
118,257920,-5950.2001953125
119,260000,-2724.39990234375
120,262080,-6867.10009765625
121,264160,-5741.7001953125
122,266240,-3127.199951171875
123,268320,-1892.5
124,270400,-4449.10009765625
125,272480,-11208.900390625
126,274560,-2578.800048828125
127,276640,-7024.2001953125
128,278720,-4734.10009765625
129,280800,-2412.0
130,282880,-4436.39990234375
131,284960,-4408.7001953125
132,287040,-8273.7001953125
133,289120,-3020.39990234375
134,291200,-4149.0
135,293280,-4010.0
136,295360,-4032.10009765625
137,297440,-7160.39990234375
138,299520,-4462.89990234375
139,301600,-2404.0
140,303680,-2619.699951171875
141,305760,-4617.89990234375
142,307840,-5758.7998046875
143,309920,-5078.10009765625
144,312000,-3023.0
145,314080,-1809.699951171875
146,316160,-3966.800048828125
147,318240,-3530.800048828125
148,320320,-3261.199951171875
149,322400,-3897.10009765625
150,324480,-4054.300048828125
151,326560,-6767.39990234375
152,328640,-5134.0
153,330720,-7475.60009765625
154,332800,-2667.0
155,334880,-3813.39990234375
156,336960,-2651.5
157,339040,-6277.10009765625
158,341120,-5478.10009765625
159,343200,-4666.7001953125
160,345280,-4805.2001953125
161,347360,-3911.39990234375
162,349440,-5945.7001953125
163,351520,-4655.60009765625
164,353600,-5337.10009765625
165,355680,-2922.5
166,357760,-6846.89990234375
167,359840,-4424.39990234375
168,361920,-3474.60009765625
169,364000,-7169.39990234375
170,366080,-11945.099609375
171,368160,-4823.89990234375
172,370240,-7925.10009765625
173,372320,-2043.5
174,374400,-1408.300048828125
175,376480,-2838.699951171875
176,378560,-3612.800048828125
177,380640,-4038.300048828125
178,382720,-4304.60009765625
179,384800,-1936.0999755859375
180,386880,-2181.10009765625
181,388960,-3939.60009765625
182,391040,-3697.0
183,393120,-5779.2001953125
184,395200,-6719.7998046875
185,397280,-4144.7001953125
186,399360,-3275.800048828125
187,401440,-1406.9000244140625
188,403520,-8005.7001953125
189,405600,-3007.699951171875
190,407680,-7925.89990234375
191,409760,-2758.89990234375
192,411840,-6246.39990234375
193,413920,-6691.60009765625
194,416000,-4953.0
195,418080,-2983.39990234375
196,420160,-1018.0999755859375
197,422240,-3323.60009765625
198,424320,-3269.199951171875
199,426400,-6019.7998046875
200,428480,-7204.0
201,430560,-2261.300048828125
202,432640,-3827.800048828125
203,434720,-862.5999755859375
204,436800,-5029.2998046875
205,438880,-8006.2001953125
206,440960,-3346.199951171875
207,443040,-2099.800048828125
208,445120,-7726.0
209,447200,-6908.0
210,449280,-6678.89990234375
211,451360,-3882.300048828125
212,453440,-5056.0
213,455520,-5292.60009765625
214,457600,-3382.699951171875
215,459680,-3872.800048828125
216,461760,-6800.60009765625
217,463840,-3617.300048828125
218,465920,-5877.10009765625
219,468000,-6577.10009765625
220,470080,-4156.60009765625
221,472160,-4380.0
222,474240,-4622.7998046875
223,476320,-1381.5999755859375
224,478400,-2992.699951171875
225,480480,-6283.60009765625
226,482560,-4911.89990234375
227,484640,-1653.5
228,486720,-5490.2001953125
229,488800,-5476.7001953125
230,490880,-7248.7998046875
231,492960,-3995.300048828125
232,495040,-8208.5
233,497120,-6824.7001953125
234,499200,-2924.300048828125
235,501280,-8587.599609375
236,503360,-2672.10009765625
237,505440,-2379.39990234375
238,507520,-8196.099609375
